"planningReference","status","decision","receivedDate","localAuthority","consentStage","county","town","siteAddress","postcode","proposal","units","estimatedGdv","indicativeLoanAt70Ltgdv","valuationMedianPrice","applicantName","applicantCompany","agentName","agentCompany","planningUrl","note"
"2025/02503/NMAT","Application Approved","Application Approved","","London Borough of Hammersmith & Fulham","non_material_amendment","greater-london","fulham","Hammersmith Town Hall King Street London W6 9JU","W6 9JU","Non-material amendment to planning permission (reference: 2018/01500/FUL) dated 30th April 2018 for the ""Demolition of 181-187 King Street, Town Hall Extension, Quaker Meeting House 20 Nigel Playfair Avenue (West), Register Office Nigel Playfair Avenue (West) and remainder of former Cineworld 207 King Street. Redevelopment, to include the Nigel Playfair Avenue (West) Car Park and Nigel Playfair Avenue (East), to provide four new build blocks comprising existing and new basements plus between six and eight storeys in height comprising 204 dwelling units (Class C3), retail (Class A1), Restaurant/caf� use (Class A3), Cinema (Class D2) and Office (Class B1) to include enterprise units; internal and external alterations and roof extension of the Grade II Listed Town Hall building to provide refurbished civic centre and new office use (Class B1); creation of a civic square and public realm works, play space, landscaping and associated residential and non-residential car parking (including disabled), cycle parking, motorcycle parking, access and servicing (EIA Development)"". Amendments sought to change from B1 to Use Class E under the new use class order and that no more than 50% of the area on floors 1 - 7 to be used as F1a Higher Education. The basement and parts of the ground floor are permitted for D2 cinema use; non material amendments to the use of the cinema screens as auditorium ancillary to the F1a is also sought.","204","128520000","89964000","650000","","","","","https://public-access.lbhf.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=T2OGZCBI0TR00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"19/02583/AMD6","Approved","Approved","21/07/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Challabrook Farm Challabrook Lane Bovey Tracey TQ13 9JZ","TQ13 9JZ","Non-material amendment (changes to conditions) to planning permission 19/02583/MAJ - Application for second phase of Residential Development of 128 dwellings. Outline Application for employment site and 5 self build dwelling plots.","128","37120000","25984000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TIIY3UPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00840/2CN10","Application Permitted","Application Permitted","10/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Site Of Former Civic Offices Merrial Street Newcastle Under Lyme Staffordshire","","Application for approval of report detailing the enabling works for the site as required by condition 10 of planning permission 24/00840/FUL for Residential development comprising 175 dwellings and associated landscaping","175","33556250","23489375","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGFAM2BMHT000","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1927/AME","Permitted","Permitted","26/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South And East Of Adastral Park Martlesham Heath Martlesham Suffolk","","Non Material Amendment of DC/24/4345/ARM - Approval of Reserved Matters for Parcel W5 of DC/24/2810/VOC (as varied from DC/23/3984/VOC; varied from DC/20/1234/VOC; varied from original planning permission DC/17/1435/OUT [Outline planning permission for up to 2000 dwellings, an employment area of 0.6ha (use class B1) primary local centre comprising use class A1, A2, A3, A4, A5, B1, C3, 02) secondary centre (comprising possible use class A1, A3 and A4), a school, green infrastructure (including Suitable Accessible Natural Green space (SANGs) outdoor play areas, sports ground and allotments/community orchards), public footpaths and cycleways, vehicle accesses and associated infrastructure]) - Construction of 69 homes (including 17 affordable homes) garage, parking, surface water drainage basin, internal access roads, landscaping and associated infrastructure (W5). This includes details submitted in compliance with conditions 10, 13, 16, 32, 44 and 67 and details submitted to formally discharge conditions 25, 26, 27, 28, 30(a), 42, 49 and 63 of DC/24/2810/VOC - Minor amendments to approved windows detailing relating only to house types 1144 (plots 54, 66 & 67) and 1317 (plots 6 & 25).","69","19320000","13524000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFN13IQXIZ300","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"DC/26/1964/AME","Permitted","Permitted","27/05/2026","East Suffolk Council","non_material_amendment","suffolk","felixstowe","Land South Of Primary School And East Of The Street Eyke Suffolk IP12 2QW","IP12 2QW","Non Material Amendment of DC/22/4775/FUL - Full planning application for erection of 65 dwellings (Use Class C3); change of use of Agricultural Land to provide for the expansion of the adjacent Eyke CE Primary School site (Use Class F1(a)); vehicular and pedestrian access from The Street; internal access road; car and cycle parking; Local Equipped Area for Play (LEAP); public open space; landscaping; Sustainable Urban Drainage Systems; and associated infrastructure including highway works. - An additional parking space is to be provided adjacent to the approved parking space for plot 45. There are no alterations to the house or materials. The external works details for walls remain as approved but the extent of the side wall and garden fence is adjusted to accommodate the parking space.","65","18200000","12740000","280000","","","","","https://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFPF7SQXJ0N00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00678/2CN14","Application Permitted","Application Permitted","22/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Midway Multistorey Car Park The Midway Newcastle Under Lyme Staffordshire","","Application for approval of proposed scheme drainage report as required by condition 14 of planning permission reference 24/00678/FUL for Proposed repurposing of existing car park structure into new residential accommodation consisting of 111 apartments and associated communal facilities.","111","10406250","7284375","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TIBFAOBM0DH00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/00923/PAP3MA","Decided (Approved)","Decided (Approved)","28/05/2026","Reigate and Banstead Borough Council","primary_consent","surrey","redhill","Kimberley Clark Europe Douglas House 40 London Road Reigate Surrey RH2 9QP","RH2 9QP","Prior Notification requirement under Part MA of the GPDO for the change of use of Class E space to form 37 apartments.","37","9620000","6734000","475000","","","","","https://planning.reigate-banstead.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFQZHKMVJLK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"23/02302/AMD1","Approved","Approved","24/06/2026","Teignbridge District Council","non_material_amendment","devon","newton-abbot","Land At Ngr 286686 74699 Sandygate Kingsteignton","","Non-material amendment on planning permission 23/02302/MAJ - Hybrid application for 33 dwellings, comprising a full application for 21 residential dwellings, of which 6 are affordable; outline application with only access under consideration for 4 dwellings and 8 custom and self- build plots - Revised plans and description (amended design to house type)","33","9570000","6699000","290000","","","","","https://publicaccess.teignbridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TH4PCAPZ01B00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"26/01582/DIS","Approved","Approved","22/05/2026","Cheshire West and Chester Council","condition_discharge","cheshire","chester","Winnington Urban Village Winnington Avenue Northwich","","Discharge of condition 12 (validation report) of 14/03279/FUL (Erection of 31 Dwellings (Alternative house designs to scheme approved under reference 12/01837/REM))","31","8525000","5967500","275000","","","","","https://pa.cheshirewestandchester.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TFFQM5TEIZN00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN16","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Proposal: Application for approval of Residential Framework Travel Plan (RFTP) as required by condition 16 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGVWR7BM0DK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN14","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","condition_discharge","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Application for approval of details of the provision of secure parking facilities for bicycles in relation to each dwelling as required by condition 14 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGVWPOBM0DK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN13","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Application for approval of scheme of bat sensitive external lighting as required by condition 13 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGVWOTBM0DK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN12","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Application for approval of samples of all external materials/finishes to be used for construction of the approved dwellings; and the location and type of all in-built and other bat and bird boxes to be installed as required by condition 12 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGVWO3BM0DK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN08","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Application for approval of a Construction Management Plan as required by condition 08 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGVWMKBM0DK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN06","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Application for approval of revised Arboricultural Impact Assessment (AIA), Arboricultural Method Statement (AMS) and Tree Protection Plan (TPP) as required by condition 06 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGVWKJBM0DK00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"22/01105/CN04","Application Permitted","Application Permitted","16/06/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land To East Of Woodside Baldwins Gate Newcastle Under Lyme ST5 5DA","ST5 5DA","Application for approval of an archaeological investigation as required by condition 04 of planning permission reference 22/01105/FUL for Residential development for 40 dwellings with associated landscaping, car parking, drainage, and other necessary supporting infrastructure (Amended plans received & description changed) **The application has been amended since public consultation was last undertaken in July 2024. Since this time the proposed layout of the scheme has been subject to further minor amendments to its layout and additional supporting information has been submitted particularly in relation to Highways, Tree, Ecology and Drainage issues**","40","7670000","5369000","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TGQEP1BMHVA00","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
"24/00137/CN21","Application Permitted","Application Permitted","03/07/2026","Newcastle-under-Lyme Borough Council","primary_consent","staffordshire","newcastle-under-lyme","Land Off Cross Street Chesterton Newcastle Under Lyme Staffordshire ST5 7HF","ST5 7HF","Application for approval of the Waste Management Plan, as required by condition 21 of planning permission 24/00137/FUL - Detailed (full) planning permission for the erection of 39 dwellings within Use Class C3, formation of open space, hard and soft landscaping, provision of access and associated engineering work at land at Cross Street, Chesterton, Newcastle-under-Lyme.","39","7478250","5234775","191750","","","","","https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TI4GAFBM06400","Approved finance target has no usable decisionDate in the planning JSON, so it cannot be assigned to a weekly approval window until the scraper captures the decision date."
