"priority","category","prospectSlot","offer","firstAction","targetMonthlyPipeline","status"
"P1","Planning consultants","Planning consultants 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 13","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 14","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Planning consultants","Planning consultants 15","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 1","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 2","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 3","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 4","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 5","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 6","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 7","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 8","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 9","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 10","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 11","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
"P1","Architects","Architects 12","24-hour funding view, white-labelled review, clear referral fee","Find named partner/principal and send introducer programme invite","1000000","research_required"
