"week","rank","sourceDomain","sourceUrl","domainRank","spamScore","competitorsLinked","outreachType","title","owner","status","followUpOneDue","followUpTwoDue","qualifyingNote"
"1","1","theorg.com","https://theorg.com/org/blg","73","5","33","Manual review","Rachael Phillips - Group Head Of Compliance at Aldermore Bank | The Org","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","2","www.mpamag.com","https://www.mpamag.com/uk/news/general/mfs-joins-tma-clubs-lender-panel/470437","63","0","33","Digital PR / expert commentary","The UK's problem with property fraud | Mortgage Introducer","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","3","www.business-money.com","https://www.business-money.com/new-page-2/","48","0","28","Digital PR / expert commentary","Expert tips for managing your finances - Business Money","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","4","www.linkcentre.com","https://www.linkcentre.com/finance/loan/6/","71","0","26","Manual review","Find & Review Top mortgage sites in Worldwide - page 3","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","5","ifamagazine.com","https://ifamagazine.com/hmrc-scams-to-watch-out-for-this-summer/","54","0","26","Digital PR / expert commentary","HMRC Scams to Watch Out For This Summer - IFA Magazine","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","6","www.inkl.com","https://www.inkl.com/news/is-fine-art-a-good-investment","71","0","25","Digital PR / expert commentary","My leasehold papers are incomplete and I need…","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","7","intently.co","https://intently.co/providers/Turkey/Ankara/Mortgage+Advisor","52","0","24","Manual review","25+ Business Brokers in Anchorage - Available Right Now","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","8","theintermediary.co.uk","https://theintermediary.co.uk/2022/02/bridge-help-appoints-new-bdm-%EF%BF%BC/","47","0","24","Digital PR / expert commentary","Landlords expect over £10k spend per property to hit 2025 EPC target","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","9","www.iwoca.co.uk","https://www.iwoca.co.uk/insights/cbils-providers","67","5","22","Manual review","CBILS lenders / CBILS providers | A list of accredited lenders - iwoca","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","10","www.property118.com","https://www.property118.com/cities-with-the-most-prs-student-lets/","61","0","22","Digital PR / expert commentary","Average Property Scam Costs Victims £107,669","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","11","www.mortgagesolutions.co.uk","https://www.mortgagesolutions.co.uk/supporter-hub/","71","0","21","Digital PR / expert commentary","Company Profile Hub","Founder","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","12","welpmagazine.com","https://welpmagazine.com/top-legal-companies-and-startups-in-the-uk/","61","0","21","Digital PR / expert commentary","Top Banking Companies and Startups in the UK - Welp Magazine","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","13","smallbusiness.co.uk","https://smallbusiness.co.uk/future-high-street-2546619/","56","0","21","Digital PR / expert commentary","What will the future high street look like?","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","14","www.abcmoney.co.uk","https://www.abcmoney.co.uk/2019/11/government-schemes-for-uk-startups/","51","0","21","Digital PR / expert commentary","The Hidden Cash Flow Mistakes That Put Your Business At Risk | ABC Money","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
"1","15","thenegotiator.co.uk","https://thenegotiator.co.uk/news/natwest-money-laundering/","67","0","19","Digital PR / expert commentary","Property particulars should include prominent fraud warnings","Outreach manager","not_contacted","3 business days after first email","7 business days after first email","Check relevance, editorial quality and contact path before outreach; exclude junk directories and scraped profiles."
