"priority","workstream","cadence","owner","action","output","acceptanceCriteria","metric"
"P0","Revenue control","Daily","Founder","Review every live deal with no next action due today or overdue.","Updated stage, probability, expected fee, close month and next action.","100% of live opportunities have owner, stage, probability, close month and next action date.","Live weighted facility value and expected 1% fee."
"P0","Sales response","Daily","Founder / originator","Call every new qualified lead during business hours within 15 minutes.","Call logged, qualification noted, core document request sent if viable.","No qualified lead waits longer than 15 minutes during business hours.","Speed to lead; qualified-to-docs-requested conversion."
"P0","Introducers","Weekly","Founder","Add 50 named introducer prospects and send 50 first-touch partner emails.","Named prospects with company, role, email/LinkedIn, category and first-touch date.","50 first touches, 100 follow-ups, 8 calls booked and 2 partner-agreed outcomes per week.","Active introducers; referred facility pipeline per month."
"P0","Introducers","Weekly","Founder","Run eight introducer calls focused on planning consultants, architects and solicitors.","Partner fit scored, referral fee terms discussed, next referral ask agreed.","At least two firms move to partner_agreed or first_referral stage each week.","Calls booked to partner-agreed conversion."
"P1","Introducer nurture","Weekly","Outreach manager","Send a practical market briefing to all active and warm introducers.","One forwardable email with rate note, lender appetite and recent planning/site insight.","Briefing sent weekly; replies and referral prompts logged against each partner.","Partner replies and repeat referrals."
"P0","Planning outreach","Weekly","Data/content operator","Run planning scrape, QA approvals, generate site articles and export outreach records.","Approved-site records with article URL, applicant/company, agent and funding estimate.","False positives below 10%; all viable records have source URL, article URL and contact path.","Planning prospects, conversations and new facility pipeline."
"P1","Planning outreach","Weekly","Outreach manager","Send email plus letter to every planning prospect above threshold.","Outreach logged with article link, sold-price evidence and 70% LTGDV estimate.","100+ planning-triggered prospects per month and 30 direct conversations.","Planning prospect to conversation conversion."
"P1","SEO content","Weekly","Content operator","Brief or publish 10 P1 commercial pages from content-sprint.csv.","Page with CTA, examples, terms, lender objections, checklist and internal links.","No page ships without direct finance CTA and CRM source tracking.","Published P1 pages; assisted leads; ranking movement."
"P1","Link building","Weekly","Outreach manager","Work 25 P1 link prospects from link-sprint.csv.","Prospect classified, first email sent, two follow-ups scheduled, status logged.","Junk directories and scraped profiles excluded; 20 quality links/month target maintained.","Quality links acquired; editorial links; partner links."
"P1","Video","Weekly","Content/video operator","Produce 15-20 Remotion videos from remotion-video-calendar.csv.","9:16, 1:1 and 16:9 variants with captions, one CTA and matching page/link.","Every planning article above threshold gets a short video; every video points to one CTA.","Videos published; views; clicks to deal-room/introducers."
"P1","Partner assets","Fortnightly","Founder / content operator","Create one co-branded or white-label funding note for a warm introducer.","PDF/article/email asset they can forward to developer clients.","At least two partner-specific assets created per month for high-potential introducers.","Introducer asset sends and referrals generated."
"P0","Management rhythm","Monday","Founder","Run 45-minute revenue meeting from the dashboard.","Pipeline deltas, stuck deals, lead source performance and this week's targets.","Every stuck qualified deal has a blocker, owner and unlock action.","Weighted pipeline, mandates and completions."
"P0","Management rhythm","Friday","Founder","Review wins, losses, stuck deals and partner/referral movement.","Lost reasons logged and next week's priority targets confirmed.","Every lost or stuck deal has a reason that can improve packaging, targeting or lender routing.","Win rate, lost reasons, stuck-deal age."
"P2","Hiring","Monthly","Founder","Review capacity triggers for packaging/admin, originator and partnerships support.","Hire/no-hire decision based on live pipeline, response times and overdue tasks.","Hire support when qualified pipeline exceeds capacity or SLA compliance falls below target.","Open tasks per owner; response SLA; qualified pipeline per originator."
